gdc_file_id	aliquot_id	case_id	disease_type	experimental_strategy	gender	investigation	platform	primary_site	reference_genome	sample_id	sample_type
8c0d94ae-a908-47c9-a301-3b5c3d0fafaa	CCLE-LU99-RNA-08	CCLE-LU99	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	LU99	Cell Line
cb611afa-675c-460c-91bf-e0b2e17fc550	CCLE-NCI-H1385-RNA-08	CCLE-NCI-H1385	Lung squamous cell carcinoma	RNA-Seq	Female	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	NCI-H1385	Cell Line
6108dcae-c84c-43ca-b33b-065ee422eea0	CCLE-COR-L23-RNA-08	CCLE-COR-L23	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	COR-L23	Cell Line
d3738c54-3194-41a8-9008-986ba7d4a5e1	CCLE-EFO-21-RNA-08	CCLE-EFO-21	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	EFO-21	Cell Line
f8d6ed53-d7d8-47b5-bde2-4fec37de1087	CCLE-KURAMOCHI-RNA-08	CCLE-KURAMOCHI	Ovarian serous cystadenocarcinoma	RNA-Seq	Female	CCLE-OV	Illumina	ovary	HG19_Broad_variant	KURAMOCHI	Cell Line
7bc75831-378f-4ad3-aa39-0d3465f61143	CCLE-SNU-685-RNA-08	CCLE-SNU-685	Cervical squamous cell carcinoma and endocervical adenocarcinoma	RNA-Seq	Female	CCLE-CESC	Illumina	endometrium	HG19_Broad_variant	SNU-685	Cell Line
5faaf1d9-f57e-4665-839e-e51535f490aa	CCLE-Hs746T-RNA-08	CCLE-Hs746T	Stomach adenocarcinoma	RNA-Seq	Male	CCLE-STAD	Illumina	stomach	HG19_Broad_variant	Hs746T	Cell Line
2e3f0cea-6fda-4132-9c63-473de4ecc42d	CCLE-SNU-C1-RNA-08	CCLE-SNU-C1	Colon adenocarcinoma	RNA-Seq	Male	CCLE-COAD	Illumina	large_intestine	HG19_Broad_variant	SNU-C1	Cell Line
e6075d40-df96-4457-9350-cc632931ec39	CCLE-LCLC-103H-RNA-08	CCLE-LCLC-103H	Lung squamous cell carcinoma	RNA-Seq	Male	CCLE-LUSC	Illumina	lung	HG19_Broad_variant	LCLC-103H	Cell Line
a7c7f112-5a0d-43d2-9b1b-78a80e0a2e83	CCLE-M059K-RNA-08	CCLE-M059K	Brain Lower Grade Glioma	RNA-Seq	Male	CCLE-LGG	Illumina	central_nervous_system	HG19_Broad_variant	M059K	Cell Line
c3c9fc31-fd9f-4b7c-9fc1-83292fc2997b	CCLE-SW-1710-RNA-08	CCLE-SW-1710	Bladder Urothelial Carcinoma	RNA-Seq	Female	CCLE-BLCA	Illumina	urinary_tract	HG19_Broad_variant	SW-1710	Cell Line
e5e963a5-1da6-4a05-a71d-900e3f2bbd52	CCLE-HCC70-RNA-08	CCLE-HCC70	Breast invasive carcinoma	RNA-Seq	Female	CCLE-BRCA	Illumina	breast	HG19_Broad_variant	HCC70	Cell Line
af9a65d2-cb4b-4751-9833-4bfdb2b1270f	CCLE-SU-DHL-8-RNA-08	CCLE-SU-DHL-8	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	RNA-Seq	Male	CCLE-DLBC	Illumina	haematopoietic_and_lymphoid_tissue	HG19_Broad_variant	SU-DHL-8	Cell Line
